id,name,price,type
1,item1,1000,1
2,item2,2000,1
3,item3,3000,1
4,item4,4000,1
5,item5,5000,1
6,item6,6000,1
7,item7,7000,1
8,item8,8000,1
9,item9,9000,1
10,item10,10000,1
11,item11,11000,2
12,item12,12000,2
13,item13,13000,2
14,item14,14000,2
15,item15,15000,2
16,item16,16000,2
17,item17,17000,2
18,item18,18000,2
19,item19,19000,2
20,item20,20000,2
21,item21,21000,3
22,item22,22000,3
23,item23,23000,3
24,item24,24000,3
25,item25,25000,3
26,item26,26000,3
27,item27,27000,3
28,item28,28000,3
29,item29,29000,3
30,item30,30000,3
31,item31,31000,1
32,item32,32000,1
33,item33,33000,1
34,item34,34000,1
35,item35,35000,1
36,item36,36000,1
37,item37,37000,1
38,item38,38000,1
39,item39,39000,1
40,item40,40000,1
41,item41,41000,2
42,item42,42000,2
43,item43,43000,2
44,item44,44000,2
45,item45,45000,2
46,item46,46000,2
47,item47,47000,2
48,item48,48000,2
49,item49,49000,2
50,item50,50000,2
